code,Category,Name,"Long Description","Cost Per Unit",Quantity,"Unit of measure","Total Cost",RETAIL,WHOLESALE,REGULAR,"Vat Status",Availability
275734441,"Spoon &amp; Fork","3M Fork (25pcs)","3M Fork (25pcs)",10.91533,11,each,120.06863,15,0,0,yes,Available
752777115,"Spoon &amp; Fork","3M Spoon (25pcs)","3M Spoon (25pcs)",10.91533,,each,0,15,0,0,yes,Available
59123248,Spices/Herbs,"Aachi Curry Masala","Aachi Curry Masala",227.5,,each,0,275,0,0,yes,Available
534800303,"Dutche Products","ACC Dutche Choco Syrup ( 1kgx16 )","ACC Dutche Choco Syrup ( 1kg )",90,0,each,0,125,0,0,yes,Available
98321506,Stocks,"ACC Whipping Creme (1kgx15)","ACC Whipping Creme (1kgx15)",225,0,piece,0,395,0,0,yes,Available
41928493,"Milk Tea Equipments/Supplies","Acrylic Ice Scooper","Acrylic Ice Scooper",75.479989146656,6,piece,452.87993487994,95,0,0,yes,Available
1233,"Milk Tea Equipments/Supplies","Acrylic Jigger (22-40cc)","Acrylic Jigger (22-40cc)",27.396610651414,11,piece,301.36271716555,80,0,0,yes,Available
4800575480254,"Dairy Products","Alaska Crema (250ml)","Alaska Crema (250ml)",51.63,0,each,0,63,0,0,yes,Available
4800575431003,Milk,"Alaska Fresh Milk (1L x 12)","Alaska Fresh Milk (1L x 12)",71.359210526316,0,piece,0,83,0,0,yes,Available
692007092,Cheese,"Alba Grated Parmesan 2kg","Alba Grated Parmesan 2kg",1462.86,,each,0,1900,0,0,yes,Available
1278500072,Flour,"All Purpose Flour 1kg","All Purpose Flour 1kg",37.6,0,each,0,55,0,0,yes,Available
471218713,Nuts,"Almond Nuts (200g)","Almond Nuts (200g)",237.5,0,each,0,310,0,0,yes,Available
49010534,"Packaging &amp; Containers","Alum Foil Sq. with lid  11550 (8x8x1.8)","Alum Foil Sq. with lid  11550 (8x8x1.8)",19.5,104,piece,2028,28,0,0,yes,Available
63883732,"Packaging &amp; Containers","Alum Foil Sq.with lid 052180 (12x10x1.7)","Alum Foil Sq.with lid 052180 (12x10x1.7)",29.5,1,piece,29.5,40,0,0,yes,Available
47528901,"Packaging &amp; Containers","Alum Round Pan Body &amp; Lid Round 6x2 (1387)","Alum Round Body &amp; Lid Round 6x2 (1387)",10,842,piece,8420,15,0,0,yes,Available
86596022,"Packaging &amp; Containers","Alum Round Pan Body &amp; Lid Round 8x2 (1368)","Alum Round Pan Body &amp; Lid Round 8x2 (1368)",15,347,piece,5205,21,0,0,yes,Available
49963823,"Packaging &amp; Containers","Alum Square Pan Body &amp; Lid  6.5x4.5x2 (2650)","Alum Square Pan Body &amp; Lid  6.5x4.5x2 (2650)",8.5,793,piece,6740.5,12,0,0,yes,Available
43626885,"Packaging &amp; Containers","Alum Square Pan Body &amp; Lid 8x8x2 (1452)","Alum Square Pan Body &amp; Lid 8x8x2 (1452)",15.5,308,piece,4774,28,0,0,yes,Available
696425269,"Aluminum Foil","Aluminum loaf pan with lid 3x4","Aluminum loaf pan with lid 3x4",0,,each,0,0,0,0,no,Available
8675694,"Aluminum Foil","Aluminum loaf pan with lid 3x5","Aluminum loaf pan with lid 3x5",8.5,184,each,1564,12,0,0,yes,Available
993166136,"Aluminum Foil","Aluminum loaf pan with lid 3x6","Aluminum loaf pan with lid 3x6",0,,each,0,0,0,0,yes,Available
947940065,"Aluminum Foil","Aluminum loaf pan with lid 3x7","Aluminum loaf pan with lid 3x7",9.3,294,each,2734.2,13,0,0,yes,Available
977702515,"Aluminum Foil","Aluminum loaf pan with lid 3x8","Aluminum loaf pan with lid 3x8",0,,each,0,0,0,0,no,Available
03580998,Stocks,"Aluminum Whipped Cream Dispenser 500c ","Aluminum Whipped Cream Dispenser 500c ",1000,2,piece,2000,1900,0,0,yes,Available
85940100727,"Cream Cheese","Anchor Cream Cheese (1kg)","Anchor Cream Cheese (1kg)",485,6,each,2910,585,0,0,yes,Available
69979071,Stocks,"Arkadia Caramel Syrup 750ml ","Arkadia Caramel Syrup 750ml ",437.69565217391,4,piece,1750.7826086956,520,0,0,yes,Available
64791791,Stocks,"Arkadia Macadamia Syrup 750ml ","Arkadia Macadamia Syrup 750ml ",450,12,piece,5400,520,0,0,yes,Available
45840579,Stocks,"Arkadia Strawberry Syrup 750ml ","Arkadia Strawberry Syrup 750ml ",446.09090909091,9,piece,4014.8181818182,520,0,0,yes,Available
81570195,Stocks,"Arkadia Vanilla Syrup 750ml ","Arkadia Vanilla Syrup 750ml ",450,33,piece,14850,520,0,0,yes,Available
49673937,Stocks,"Arkadia white Chocolate Syrup 750ml ","Arkadia white Chocolate Syrup 750ml ",450,5,piece,2250,520,0,0,yes,Available
4100290003555,"Baking Supply","Arla - All Natural Full Cream Milk ","Arla - All Natural Full Cream Milk ",75.784704018692,238,liter,18036.759556449,125,0,0,yes,Available
996379356,"Toppings &amp; Sinkers","Assorted Mini Lentils (1kg-12.5kg/bag)","Assorted Mini Lentils (1kg-12.5kg/bag)",254.8,5,each,1274,310,0,0,yes,Available
770128503,"Baking Supply","Assorted Mini Lentils (Nips) 500g","Assorted Mini Lentils (Nips) 500g",105.27,1,each,105.27,180,0,0,yes,Available
4800029017777,"Toppings &amp; Sinkers","Assorted Mini mini Mallows (680g) (4 bags/case)","Assorted Mini mini Mallows (680g) (4 bags/case)",147.55,20,each,2951,210,0,0,yes,Available
19554648,"Frozen Goods","Aviko Shoestring Fries (2.5kg)","Aviko Shoestring Fries (4x2500g) ",362.5,5,piece,1812.5,387,0,0,yes,Available
996339191,Equipment,"Avr Capriole ( 5000 W )","Avr Capriole ( 5000 W )",5753,0,each,0,7500,0,0,yes,Available
893194829,"Container Jars","Bagoong Jar 4oz Red","Bagoong Jar 4oz Red",0,,each,0,0,0,0,no,Available
556248547,"Container Jars","Bagoong Jar 6oz Red","Bagoong Jar 6oz Red",0,,each,0,0,0,0,no,Available
4806531440157,"Coffee Sauces &amp; Syrups","Bakersfield Caramel Syrup (12x700g)","Bakersfield Caramel Syrup (12x700g)",195.51,0,piece,0,231,0,0,yes,Available
77958525,"Coffee Sauces &amp; Syrups","Bakersfield Chocolate Syrup (12x700g)","Bakersfield Chocolate Syrup (12x700g)",215.06,0,piece,0,225,0,0,yes,Available
321924478,"Food Color &amp; Flavor","Bakersfield Flavorade Ube (4kg)","Bakersfield Flavorade Ube (4kg)",1290,0,each,0,1420,0,0,yes,Available
4806531440171,"Coffee Sauces &amp; Syrups","Bakersfield Fudge it Caramel (6x1kg)","Bakersfield Fudge it Caramel (6x1kg)",263.47,0,piece,0,285,0,0,yes,Available
19520049,"Coffee Sauces &amp; Syrups","Bakersfield Fudge it Chocolate (6x1kg)","Bakersfield Fudge it Chocolate (6x1kg)",268.12,0,piece,0,285,0,0,yes,Available
68141943,"Coffee Sauces &amp; Syrups","Bakersfield Fudge it Yema (6x1kg)","Bakersfield Fudge it Yema (6x1kg)",291.4,0,piece,0,315,0,0,yes,Available
4806531440362,"Whipping Cream","Bakersfield Whipp it (12x1kg)","Bakersfield Whipp it (12x1kg)",293.27014285714,0,each,0,310,0,0,yes,Available
107201052,"Baking Cup","Baking cup 2 oz (1200pcs)","Baking cup 2 oz (1200pcs)",52,,each,0,60,0,0,yes,Available
848450741,"Baking Cup","Baking cup 3 oz (2000pcs)","Baking cup 3 oz (2000pcs)",110,,each,0,127,0,0,yes,Available
890784914,"Baking Cup","Baking cup 4 oz (2000pcs)","Baking cup 4 oz (2000pcs)",184,0,each,0,152,0,0,yes,Available
1143384171,"Baking Cup","Baking cup 5 1/2 oz (3000pcs)","Baking cup 5 1/2 oz (3000pcs)",375.39,0,each,0,430,0,0,yes,Available
194721132,"Baking Equipment","Baking Sheet","Baking Sheet",4,,each,0,10,0,0,yes,Available
17930345,"Baking Supply","Baking Soda 100g","Baking Soda 100g",5.5,0,piece,0,10,0,0,yes,Available
362611877,Flour,"Baking Soda 500g","Baking Soda 500g",28,0,each,0,35,0,0,yes,Available
56665758,Stocks,"Barista Supreme Cafe NOIR (Cappuccino) (750gx12pcks)","Barista Supreme Cafe NOIR (Cappuccino) (750gx12pcks)",323.7,9,piece,2913.3,355,0,0,yes,Available
17393126,Stocks,"Barista Supreme Caramel Macchiatto (750gx12pcks)","Barista Supreme Caramel Macchiatto (750gx12pcks)",323.7,5,piece,1618.5,375,0,0,yes,Available
05855698,Stocks,"Barista Supreme Java Chips (750gx12pcks))","Barista Supreme Java Chips (750gx12pcks))",370.5,0,piece,0,475,0,0,yes,Available
59644965,Stocks,"Barista Supreme Mocha (750gx12pcks)","Barista Supreme Mocha (750gx12pcks)",323,-9,piece,0,375,0,0,yes,Available
28496595,"Baking Supply","Baron All Purpose Flour 500g","Baron All Purpose Flour 500g",18.6,0,pack,0,28,0,0,yes,Available
